customer_number,stage_grouped,max_closed_date,cloud_revenue,total_opp_amount,employees,mk_fit_score,industry,ee_count,contacts_count,non_ee_count,emb_world_attendees,email_clicks,a365_new_wb_visits,a365_rest_wb_visits,total_webinars_attended,total_webinar_attendees,assembly_app_events,assembly_app_days_used,comms_events,comms_days_used,libs_events,libs_days_used,manufacturing_events,manufacturing_days_used,mcad_events,mcad_days_used,multi_cad_events,multi_cad_days_used,part_request_events,part_request_days_used,share_events,share_days_used,tasks_events,tasks_days_used,version_control_events,version_control_days_used,web_review_events,web_review_days_used
1550176,won,10/16/2024,4832.09,4832.09,87,0,Industrial/Instrumentation,5,31,8,0,32,6,183,0,0,1,1,734,92,4162,110,74,25,10,6,238,52,704,68,82,15,523,77,7387,128,11594,124
353420,lost,9/16/2024,4558.94,4558.94,60,16,Manufacturing,9,23,4,0,5,0,7,1,1,1,1,0,0,13152,77,0,0,1406,49,0,0,1,1,43,13,0,0,11011,123,369,33
1751521,won,9/26/2024,10349.1,10349.1,0,0,Consumer Electronics,9,21,7,0,13,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1829645,won,9/23/2024,4285.71,4285.71,20,14,Industrial/Instrumentation,3,20,3,0,9,2,64,1,2,849,12,440,48,977,82,28,16,2977,75,18,6,91,14,16,7,320,46,2752,116,4548,104
22022,lost,9/19/2024,4319.1,4319.1,700,70,Communications,8,40,22,0,12,48,53,3,4,9,5,6,3,1395,94,0,0,1755,45,0,0,0,0,29,7,0,0,7158,151,3160,101
496117,lost,5/2/2024,527.99,527.99,689,0,Industrial/Instrumentation,16,52,14,0,39,11,37,0,0,5,4,41,12,4983,124,43,22,1636,56,0,0,5,5,206,13,0,0,7719,123,35295,143
1803925,lost,10/5/2023,10000,10000,0,0,Aerospace,3,37,15,0,3,0,11,1,1,0,0,1026,85,47,26,11,8,4,1,0,0,1,1,2,1,19,7,14518,176,10071,163
226188,lost,5/15/2024,5224.99,5224.99,26,14,Consumer Electronics,9,60,18,1,70,0,1,6,7,58,11,379,70,6806,106,237,58,477,47,0,0,5,5,17,11,75,27,15492,121,11900,117
1732357,won,12/13/2023,87600,350641.6,213,0,Military/Defense,45,191,73,0,28,2,12,1,1,13,2,252,28,1106,42,4,2,1536,41,0,0,0,0,13,7,24,13,2680,49,10284,56
226188,won,5/7/2024,5224.99,5224.99,26,14,Consumer Electronics,9,60,18,1,70,0,1,6,7,58,11,379,70,6806,106,237,58,477,47,0,0,5,5,17,11,75,27,15492,121,11900,117
1736538,won,9/5/2024,48155.92,26982,0,0,Aerospace,9,45,22,0,10,12,48,2,2,2,2,211,48,1384,103,127,51,69,30,0,0,5,2,54,18,65,24,2301,121,18987,131
1719613,lost,8/21/2024,8498,8498,0,70,,3,5,1,0,11,1,10,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376022,won,5/21/2024,5589.99,13467.99,1100,0,Consumer Electronics,14,121,35,0,43,2,124,4,4,32,4,92,19,4071,110,28,13,9,7,0,0,19,5,172,28,63,17,7148,122,3564,106
784723,lost,7/31/2024,527.99,527.99,0,0,Retail,4,9,4,0,2,0,34,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,911,58
1798294,won,6/30/2024,0,26970,0,0,Medical Device,1,21,4,0,411,0,52,1,1,2,2,14,3,40,26,8,6,188,11,0,0,1,1,1,1,1,1,3427,104,9970,143
639099,won,6/29/2024,499,499,2,0,Service Bureau / Engineering Services,0,1,1,0,2,0,0,0,0,3,2,0,0,18,5,0,0,1,1,0,0,1,1,0,0,0,0,198,25,8,3
604300,lost,6/29/2024,527.99,527.99,38,0,Service Bureau / Engineering Services,3,17,9,0,18,0,28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617726,lost,9/20/2024,527.99,527.99,53,14,Service Bureau / Engineering Services,1,4,2,0,17,0,12,3,3,111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,27,412,18
1754857,won,7/2/2024,1055.99,1055.99,0,0,Service Bureau / Engineering Services,4,13,3,0,12,13,44,0,0,1393,42,139,42,1659,91,9,4,2810,88,0,0,1,1,43,13,56,14,3043,131,4264,116
